Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,DateOfResignation
41.0,Yes,Travel_Rarely,1091.0,Sales,2.0,2.0,Life Sciences,1.0,74.0,2.0,Female,95.0,3.0,2,Sales Executive,4.0,Single,5810.0,19961.0,8.0,Y,Yes,11.0,3.0,1.0,80.0,0.0,8.0,0.0,1.0,6.0,4.0,0.0,5.0,11/25/2021 10:30
49.0,No,Travel_Frequently,2523.0,Research & Development,8.0,1.0,Life Sciences,1.0,48.0,3.0,Male,59.0,2.0,2,ReseaFch Scientist,2.0,Married,5465.0,25029.0,1.0,Y,No,23.0,4.0,4.0,80.0,1.0,11.0,3.0,3.0,10.0,7.0,19.0,7.0,
37.0,Yes,Travel_Rarely,1353.0,Research & Development,2.0,2.0,Other,1.0,38.0,4.0,Male,,2.0,1,Laboratory Technician,3.0,Single,2172.0,2498.0,6.0,,,15.0,3.0,2.0,80.0,0.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,4/12/2017 10:30
32.0,No,Travel_Frequently,1404.0,RESEARCH & DEVELOPMENT,4.0,4.0,Life Sciences,1.0,-3.0,4.0,Female,55.0,3.0,1,Research Scientist,3.0,Married,2931.0,23226.0,1.0,Y,Yes,11.0,,3.0,80.0,0.0,8.0,3.0,3.0,,7.0,3.0,0.0,
27.0,No,Travel_Rarely,626.0,Research & Development,3.0,1.0,Medical,1.0,41.0,1.0,Male,39.0,3.0,1,Laboratory Technician,2.0,Married,3584.0,16154.0,9.0,Y,No,12.0,3.0,4.0,80.0,1.0,6.0,3.0,3.0,2.0,2.0,2.0,2.0,
32.0,No,Travel_Frequently,1034.0,Research & Development,3.0,2.0,Life Sciences,1.0,-47.0,4.0,Male,78.0,3.0,1,Laboratory Technician,4.0,Single,3111.0,11105.0,0.0,Y,,13.0,3.0,3.0,80.0,0.0,7.0,2.0,2.0,8.0,7.0,3.0,6.0,
60.0,No,Travel_Rarely,1348.0,Research & DevelopKent,2.0,3.0,Medical,1.0,45.0,3.0,Female,79.0,4.0,1,Laboratory Technician,1.0,Married,,10256.0,4.0,Y,Yes,20.0,4.0,1.0,80.0,3.0,12.0,3.0,2.0,1.0,0.0,0.0,0.0,
31.0,No,Travel_Rarely,1355.0,Research & Development,24.0,1.0,Life Sciences,1.0,-31.0,4.0,,66.0,3.0,1,Laboratory Technician,3.0,Divorced,2778.0,13374.0,1.0,Y,No,22.0,4.0,2.0,80.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,
38.0,No,Travel_Frequently,239.0,Research & Development,23.0,3.0,Life Sciences,1.0,81.0,4.0,Male,43.0,2.0,3,Manufacturing Director,3.0,Single,9495.0,9732.0,0.0,,No,21.0,4.0,2.0,80.0,0.0,10.0,2.0,3.0,,7.0,1.0,8.0,
36.0,No, Travel_Rarely,1303.0,Research&Development,27.0,3.0,Medical,1.0,11.0,3.0,Male,92.0,3.0,2,Healthcare Representative,3.0,Married,5148.0,16498.0,6.0,Y,No,13.0,3.0,2.0,80.0,2.0,51.0,3.0,,7.0,7.0,7.0,7.0,
34.0,No,Travel_Rarely,803.0,Research & Development,,,Medical,1.0,18.0,1.0,Male,84.0,4.0,1,Laboratory Technician,2.0,Married,2514.0,16464.0,0.0,Y,No,13.0,3.0,3.0,80.0,1.0,6.0,5.0,3.0,6.0,4.0,0.0,3.0,
29.0,No,Travel_Rarely,177.0,research & development,15.0,2.0,Life Sciences,1.0,8.0,4.0,Female,49.0,2.0,2,Laboratory Technician,3.0,Single,4299.0,12367.0,0.0,Y,Yes,12.0,,4.0,80.0,0.0,10.0,3.0,3.0,9.0,5.0,0.0,8.0,
31.0,No,Travel_Rarey,611.0,Research & Development,26.0,1.0,Life Sciences,1.0,32.0,1.0,Male,33.0,3.0,1,Research Scientist,3.0,Divorced,2552.0,15558.0,1.0,Y,No,17.0,3.0,4.0,80.0,1.0,4.0,1.0,,5.0,2.0,4.0,3.0,
35.0,No,TRAVEL_RARELY,1378.0,research & development,19.0,2.0,Medical,1.0,63.0,2.0,Male,93.0,3.0,1,laboratory technician,4.0,Divorced,2557.0,8883.0,0.0,Y,No,11.0,3.0,3.0,80.0,1.0,2.0,2.0,3.0,2.0,,1.0,2.0,
28.0,Yes,Travel_Rarely,96.0,Research & Development,23.0,3.0,Life Sciences,1.0,30.0,3.0,Male,50.0,2.0,1,Laboratory Technician,3.0,Single,2122.0,,5.0,Y,Yes,14.0,3.0,2.0,80.0,0.0,6.0,4.0,3.0,4.0,2.0,0.0,3.0,10/24/2020 10:30
89.0,No,Travel_Rarely,1425.0,Research  Development,21.0,4.0,Life Sciences,1.0,-38.0,2.0,Female,52.0,4.0,3,MANUFACTURING DIRECTOR,,Divorced,9983.0,10490.0,1.0,Y,No,11.0,3.0,3.0,80.0,1.0,10.0,1.0,3.0,,,8.0,8.0,
32.0,No,Travel_Rarely,363.0,Research & Development,4.0,2.0,Life Sciences,1.0,14.0,1.0,Male,82.0,4.0,1,Research Scientist,2.0,Divorced,3043.0,15129.0,0.0,Y,Yes,12.0,3.0,,80.0,2.0,6.0,5.0,2.0,6.0,2.0,0.0,,
22.0,No,Non-Travel,1087.0,Research & Development,16.0,2.0,Medical,1.0,30.0,4.0,Male,97.0,4.0,1,Laboratory Technician,4.0,Divorced,2978.0,7174.0,1.0,Y,Yes,13.0,3.0,2.0,80.0,,1.0,2.0,2.0,1.0,25.0,0.0,0.0,
53.0,No,Travel_Rarely,1185.0,Sales,2.0,4.0,Life Sciences,1.0,83.0,1.0,Female,78.0,2.0,4,Manager,4.0,Married,15502.0,22231.0,,Y,No,16.0,3.0,3.0,80.0,0.0,30.0,3.0,3.0,25.0,8.0,3.0,7.0,
38.0,No,Travel_Rarely,375.0,Research & Development,2.0,3.0,Life Sciences,1.0,38.0,4.0,Male,45.0,3.0,1,ResearchScientist,4.0,Single,3989.0,4697.0,5.0,Y,Yes,11.0,3.0,3.0,80.0,0.0,6.0,3.0,3.0,3.0,2.0,1.0,2.0,
25.0,No, Non-Travel,666.0,Research & Development,11.0,2.0,Other,1.0,36.0,1.0,Female,96.0,4.0,2,Manufacturing Director,3.0,Divorced,4064.0,8074.0,0.0,Y,No,18.0,3.0,4.0,80.0,1.0,5.0,5.0,2.0,4.0,2.0,1.0,3.0,
