Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,DateOfResignation
41,Yes,Travel_Rarely,1123,Sales,1,2,Life Sciences,1,1,2,Female,94,3,2,Sales Executive,4,Single,6385,19801,8,Y,Yes,11,3,3,80,0,7,0,1,6,4,0,5,11/25/2021 10:30
48,No,Travel_Frequently,273,Research & Development,8,1,Life Sciences,1,2,3,Male,61,2,2,Research Scientist,2,Married,5078,25188,1,Y,No,23,3,4,80,1,12,3,3,10,7,1,7,8/9/2019 10:30
37,No,Travel_Rarely,826,Research & Development,2,2,Other,1,4,4,Male,91,3,1,Laboratory Technician,3,Single,15927,2085,6,Y,Yes,15,3,2,80,0,7,3,3,0,0,0,0,4/12/2017 10:30
32,No,Travel_Frequently,1395,Research & Development,2,4,Life Sciences,1,5,4,Female,57,3,1,Research Scientist,3,Married,2879,22609,1,Y,Yes,11,3,3,80,0,8,3,3,8,4,3,0,3/23/2021 10:30
27,No,Travel_Rarely,585,Research & Development,2,1,Medical,1,7,1,Male,40,3,1,Laboratory Technician,2,Married,3147,16387,8,Y,No,12,3,4,80,1,6,3,3,2,2,2,2,5/7/2021 10:30
32,No,Travel_Frequently,1029,Research & Development,1,2,Life Sciences,1,8,4,Male,80,3,1,Laboratory Technician,4,Married,3277,12526,0,Y,No,13,3,3,80,0,8,2,2,7,7,3,6,11/1/2018 10:30
59,No,Travel_Rarely,1314,Research & Development,3,3,Medical,1,10,3,Female,80,4,1,Laboratory Technician,1,Married,2623,9516,4,Y,Yes,20,3,1,80,2,13,3,2,1,0,0,0,12/12/2017 10:30
30,No,Travel_Rarely,1330,Research & Development,25,1,Life Sciences,1,11,4,Male,68,3,1,Laboratory Technician,3,Divorced,6707,13480,1,Y,No,22,3,2,80,1,0,2,3,1,0,0,0,8/8/2021 10:30
39,No,Travel_Frequently,198,Research & Development,23,3,Life Sciences,1,12,4,Male,43,2,3,Sales Executive,3,Single,9555,8835,0,Y,No,21,3,2,80,0,10,2,3,9,7,1,8,12/10/2019 10:30
35,No,Travel_Rarely,1277,Research & Development,26,3,Medical,1,13,3,Male,94,3,2,Sales Executive,3,Married,5295,14688,6,Y,No,13,3,2,80,1,18,3,2,7,7,2,7,6/3/2019 10:30
35,No,Travel_Rarely,848,Research & Development,17,3,Medical,1,14,1,Male,85,4,1,Laboratory Technician,2,Married,2364,16209,0,Y,No,13,3,3,80,1,6,4,3,6,4,0,3,1/11/2019 10:30
29,No,Travel_Rarely,174,Research & Development,15,3,Life Sciences,1,15,4,Female,134,2,2,Laboratory Technician,3,Single,4048,13026,0,Y,Yes,12,3,4,80,0,12,3,3,9,5,0,8,10/8/2020 10:30
32,No,Travel_Rarely,655,Research & Development,27,1,Life Sciences,1,16,1,Male,67,3,1,Research Scientist,3,Divorced,3148,15487,3,Y,No,17,3,4,80,1,5,1,2,5,2,4,14,6/7/2019 10:30
34,No,Travel_Rarely,1346,Research & Development,18,2,Medical,1,18,2,Male,93,3,1,Laboratory Technician,4,Divorced,2600,9001,0,Y,No,11,3,3,80,1,2,2,3,2,2,1,2,9/16/2017 10:30
28,Yes,Travel_Rarely,137,Research & Development,24,3,Life Sciences,1,19,3,Male,49,2,1,Laboratory Technician,3,Single,1828,12577,5,Y,Yes,14,3,2,80,0,6,4,3,4,2,2,4,10/24/2020 10:30
29,No,Travel_Rarely,1385,Research & Development,21,4,Life Sciences,1,20,2,Female,49,4,3,Sales Executive,1,Divorced,9867,10686,1,Y,No,11,3,3,80,1,11,1,3,10,9,8,8,3/17/2018 10:30
33,No,Travel_Rarely,342,Research & Development,5,2,Life Sciences,1,21,1,Male,78,4,1,Sales Executive,2,Divorced,15927,14951,0,Y,Yes,13,3,4,80,2,7,4,2,6,2,0,5,9/21/2018 10:30
22,No,Non-Travel,1137,Research & Development,16,2,Medical,1,22,4,Male,97,4,1,Laboratory Technician,4,Divorced,2629,7061,1,Y,Yes,13,3,2,80,2,1,2,2,1,0,2,4,5/19/2021 10:30
53,No,Travel_Rarely,1237,Sales,10,4,Life Sciences,1,23,1,Male,77,2,2,Sales Executive,4,Married,15760,22313,2,Y,No,16,3,3,80,0,28,3,3,18,8,3,7,5/5/2017 10:30
38,No,Travel_Rarely,360,Research & Development,2,3,Life Sciences,1,24,4,Male,45,3,1,Research Scientist,4,Single,4253,4472,5,Y,Yes,11,3,3,80,0,6,3,3,3,2,8,2,7/25/2017 10:30
24,No,Non-Travel,826,Research & Development,10,2,Other,1,26,1,Female,96,4,2,Sales Executive,3,Divorced,3816,8493,0,Y,No,18,3,4,80,1,12,4,2,4,2,1,3,8/22/2020 10:30
36,Yes,Travel_Rarely,1209,Sales,9,4,Life Sciences,1,27,3,Male,83,2,1,Sales Executive,1,Single,3685,6568,7,Y,No,23,3,2,80,0,10,4,3,5,3,0,3,1/8/2018 10:30
34,No,Travel_Rarely,438,Research & Development,7,4,Life Sciences,1,28,1,Female,67,3,3,Sales Executive,2,Single,11601,21112,0,Y,No,11,3,3,80,0,13,4,3,12,6,2,11,4/3/2019 10:30
21,No,Travel_Rarely,408,Research & Development,32,2,Life Sciences,1,30,3,Male,95,3,1,Research Scientist,3,Single,984,19170,1,Y,No,14,3,4,80,0,0,4,3,0,0,0,0,11/25/2019 10:30
34,No,Travel_Rarely,677,Research & Development,6,1,Medical,1,31,2,Male,83,3,1,Research Scientist,3,Single,3053,17015,2,Y,No,11,3,3,80,0,8,2,3,4,14,1,3,9/28/2021 10:30
53,No,Travel_Rarely,1274,Research & Development,5,3,Other,1,32,3,Female,59,3,5,Sales Executive,3,Divorced,15927,10532,4,Y,No,11,3,4,80,1,28,3,2,15,13,4,8,8/14/2018 10:30
33,Yes,Travel_Frequently,1107,Research & Development,16,1,Life Sciences,1,33,2,Female,72,1,1,Research Scientist,1,Single,4239,5022,1,Y,Yes,22,3,2,80,0,10,4,3,10,2,6,7,3/1/2020 10:30
42,No,Travel_Rarely,688,Sales,8,4,Marketing,1,35,3,Male,48,3,2,Sales Executive,2,Married,7104,14688,0,Y,No,11,3,4,80,1,10,2,3,9,7,4,2,4/6/2020 10:30
